num;fish_ID;hatching_date;treatment;sexual_maturity;date_first_egg;age_first_egg;total_eggs
1;5C1;22-03-22;low;1;07-08-22;138;9
2;1A5;22-03-22;low;1;07-08-22;138;19
3;7A2;22-03-22;control;0;NA;NA;0
4;7A3;22-03-22;control;0;NA;NA;0
5;7C1;22-03-22;control;0;NA;NA;0
6;8A4;22-03-22;control;0;NA;NA;0
7;8A5;22-03-22;low;0;NA;NA;0
8;8A6;22-03-22;low;0;NA;NA;0
9;12B3;22-03-22;high;1;03-08-22;134;7
10;12B4;22-03-22;low;0;NA;NA;0
11;12C4;22-03-22;control;1;03-08-22;134;1
12;1A6;24-03-22;control;0;NA;NA;0
13;1C4;24-03-22;control;0;NA;NA;0
14;2A4;24-03-22;control;0;NA;NA;0
15;2D2;24-03-22;low;0;NA;NA;0
16;2D5;24-03-22;low;0;NA;NA;0
17;3C5;24-03-22;low;0;NA;NA;0
18;10A5;24-03-22;control;0;NA;NA;0
19;10C4;24-03-22;control;0;NA;NA;0
20;10C5;24-03-22;control;0;NA;NA;0
21;10C6;24-03-22;low;1;28-07-22;126;19
22;10D2;24-03-22;low;0;NA;NA;0
23;11A3;24-03-22;low;1;07-08-22;136;2
24;11A5;24-03-22;low;0;NA;NA;0
25;11A4;28-03-22;high;0;NA;NA;0
26;7B6;31-03-22;control;0;NA;NA;0
27;12A3;29-03-22;high;0;NA;NA;0
28;10A2;31-03-22;low;0;NA;NA;0
29;12B6;31-03-22;control;0;NA;NA;0
30;12C3;31-03-22;low;1;18-08-22;140;1
31;11D2;01-04-22;control;1;14-08-22;135;4
33;INCONNU;01-04-22;control;0;NA;NA;0
34;9A5;31-03-22;control;1;07-08-22;129;14
35;11B1;06-04-22;high;1;21-08-22;137;5
36;11B6;06-04-22;high;1;21-08-22;137;4
37;12B1;06-04-22;high;1;20-07-22;136;12
38;10B4;24-03-22;control;0;NA;NA;0
