num;fish;treatment;length_7;length_140cm;length_140mm;growth_rate;weight
3;7A2;control;5.9925;1.869;18.69;12.6975;0.0774
4;7A3;control;6.239;1.875;18.75;12.511;0.1213
5;7C1;control;5.6235;1.809;18.09;12.4665;0.1069
6;8A4;control;5.187;2.17;21.7;16.513;0.1444
11;12C4;control;5.962;2.132;21.32;15.358;0.1351
12;1A6;control;5.341;1.884;18.84;13.499;0.1162
13;1C4;control;5.653;2.042;20.42;14.767;0.138
14;2A4;control;6.384;1.911;19.11;12.726;0.1153
18;10A5;control;5.692;1.991;19.91;14.218;0.1397
19;10C4;control;5.7135;1.923;19.23;13.5165;0.1183
20;10C5;control;6.451;2.127;21.27;14.819;0.1577
26;7B6;control;5.726;2.074;20.74;15.014;0.1304
29;12B6;control;5.834;2.093;20.93;15.096;0.1318
31;11D2;control;6.0385;2.014;20.14;14.1015;0.1631
33;9A5;control;6.295;2.114;21.14;14.845;0.1683
37;10B4;control;5.8525;2.01;20.1;14.2475;0.1554
9;12B3;high;5.905;2.068;20.68;14.775;0.151
25;11A4;high;6.2295;2.003;20.03;13.8005;0.1429
27;12A3;high;6.4985;2.167;21.67;15.1715;0.1315
34;11B1;high;5.9755;2.18;21.8;15.8245;0.1631
35;11B6;high;5.821;2.174;21.74;15.919;0.1941
36;12B1;high;5.645;2.154;21.54;15.895;0.1654
1;5C1;low;4.955;2.07;20.7;15.745;0.1415
2;1A5;low;5.9585;1.939;19.39;13.4315;0.1128
7;8A5;low;5.7995;1.857;18.57;12.7705;0.0846
8;8A6;low;5.5885;2.104;21.04;15.4515;0.137
10;12B4;low;5.908;1.973;19.73;13.822;0.1132
15;2D2;low;5.3855;2.041;20.41;15.0245;0.1433
16;2D5;low;5.3885;2.002;20.02;14.6315;0.1442
17;3C5;low;5.6075;1.963;19.63;14.0225;0.123
21;10C6;low;6.3265;2.032;20.32;13.9935;0.1261
22;10D2;low;5.9215;2.145;21.45;15.5285;0.1102
23;11A3;low;6.3015;2.118;21.18;14.8785;0.1458
24;11A5;low;6.019;2.179;21.79;15.771;0.166
28;10A2;low;6.089;2.018;20.18;14.091;0.1417
30;12C3;low;6.059;2.203;22.03;15.971;0.1681
